"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"1","BAX",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"2","DPP3",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"3","ENSA",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"4","IFNg",96,"FD",0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"5","IL_1b",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"6","IL_2",86,"FD",0.86,"FD;NP",98,0.98,"1;2","FD;FD","-1;-1","1;1","1;1",0.211282031222761,0.422564062445521,0.344839675523214,-1,"FD;NP;SO","6.396;0;0.76","1;0;1",1,1,1,0,3,"Yes"
"7","IL_8",100,"FD",1,"FD;SO",95,0.95,"1;2","FD;FD","1;1","1;1","-1;-1",0.171485743608632,0.342971487217265,0.19722722660721,-1,"FD;NP;SO","-0.025;0;-3.184","-1;0;-1",1,1,1,0,3,"Yes"
"8","neg_127",100,"FD",1,"SO",91,0.91,"1;2","FD;FD","1;1","1;1","-1;-1",0.131334157939571,0.262668315879142,0.161330345958456,-1,"FD;NP;SO","-2.354;0;-3.271","-1;0;-1",1,1,0,0,2,"No"
"9","neg_70",100,"FD",1,"FD;SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.125237615019803,0.250475230039605,0.159071781951724,-1,"FD;NP;SO","-2.058;0;-3.229","-1;0;-1",1,1,0,0,2,"No"
"10","PDLIM2",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"11","pos_174",100,"FD",1,"SO",85,0.85,"1;2","FD;FD","1;1","1;1","-1;-1",0.123972093514387,0.247944187028774,0.162094796019751,-1,"FD;NP;SO","-1.135;0;-3.209","-1;0;-1",1,1,0,0,2,"No"
"12","pos_681",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"13","SLC39A7",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"14","SLTM",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"15","SNORA71B",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"16","SNORD100",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"17","SNORD22",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"18","VEGF_A",96,"FD",0.96,"FD;SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.149855275913866,0.299710551827733,0.168867161038877,-1,"FD;NP;SO","0.393;0;-2.93","1;0;-1",1,1,1,0,3,"Yes"
"19","ZNF326",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"20","ATP5MPL",100,"NP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"21","C4orf3",100,"NP",1,"NP",75,0.75,"1;2","NP;NP","1;1","1;1","-1;-1",0.123721195702438,0.247442391404875,0.150855963103793,-1,"FD;NP;SO","-4.27;0;-2.616","-1;0;-1",1,1,0,0,2,"No"
"22","DGKZ",45,"NP",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"23","EIF1AD",96,"NP",0.96,"NP",78,0.78,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.153586741402305,0.307173482804611,0.168269218908734,1,"FD;NP;SO","-4.982;0;-2.255","-1;0;-1",1,1,1,0,3,"Yes"
"24","FABP3",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"25","FAM98A",100,"NP",1,"FD;NP",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.177877406461357,0.355754812922713,0.202290040415026,1,"FD;NP;SO","-5.514;0;-2.465","-1;0;-1",1,1,1,0,3,"Yes"
"26","Fractalkine",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"27","IL_18",86,"NP",0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"28","neg_1075",100,"NP",1,"SO",85,0.85,"1;2","NP;NP","1;1","1;1","-1;-1",0.124763184465339,0.249526368930679,0.161945065861212,-1,"FD;NP;SO","-1.976;0;-3.234","-1;0;-1",1,1,0,0,2,"No"
"29","neg_128",100,"NP",1,"NP;SO",93,0.93,"1;2","NP;NP","1;1","1;1","-1;-1",0.0893381929531911,0.178676385906382,0.164346161296347,-1,"FD;NP;SO","-2.43;0;-3.16","-1;0;-1",1,1,0,0,2,"No"
"30","neg_27",100,"NP",1,"NP",70,0.7,"1;2","NP;NP","1;1","1;1","-1;-1",0.119476514109545,0.23895302821909,0.150645141804437,-1,"FD;NP;SO","-2.771;0;-2.622","-1;0;-1",1,1,0,0,2,"No"
"31","neg_271",100,"NP",1,"FD;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.153213280844399,0.306426561688798,0.168796083366017,-1,"FD;NP;SO","-0.003;0;-3.461","-1;0;-1",1,1,1,0,3,"Yes"
"32","neg_334",100,"NP",1,"FD;SO",98,0.98,"1;2","NP;NP","1;1","1;1","-1;-1",0.134097770688676,0.268195541377353,0.167594091509058,-1,"FD;NP;SO","-1.867;0;-3.389","-1;0;-1",1,1,0,0,2,"No"
"33","neg_38",100,"NP",1,"FD;NP",99,0.99,"1;2","NP;NP","1;1","1;1","-1;-1",0.153678300266011,0.307356600532022,0.165859344070226,-1,"FD;NP;SO","-6.039;0;-2.823","-1;0;-1",1,1,1,0,3,"Yes"
"34","neg_43",100,"NP",1,"NP",71,0.71,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.114707011733756,0.229414023467512,0.142184995634585,-1,"FD;NP;SO","-3.956;0;-2.501","-1;0;-1",1,1,0,0,2,"No"
