"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"35","neg_6",100,"NP",1,"NP;SO",86,0.86,"1;2","NP;NP","1;1","1;1","-1;-1",0.108646050122473,0.217292100244946,0.162727897830822,-1,"FD;NP;SO","-4.329;0;-2.945","-1;0;-1",1,1,0,0,2,"No"
"36","Osteonectin",86,"NP",0.86,"FD;NP",97,0.97,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.17579112200974,0.351582244019481,0.255032512207373,1,"FD;NP;SO","-5.747;0;-1.306","-1;0;-1",1,1,1,0,3,"Yes"
"37","pos_220",100,"NP",1,"NP;SO",97,0.97,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.163387450306777,0.326774900613553,0.164862732966846,1,"FD;NP;SO","-4.024;0;-2.734","-1;0;-1",1,1,1,0,3,"Yes"
"38","pos_384",100,"NP",1,"NP",98,0.98,"1;2","NP;NP","1;1","1;1","-1;-1",0.129640169622935,0.259280339245869,0.160809940767366,-1,"FD;NP;SO","-3.666;0;-2.771","-1;0;-1",1,1,0,0,2,"No"
"39","pos_564",100,"NP",1,"NP",72,0.72,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.0872194954243888,0.174438990848778,0.146576312568435,-1,"FD;NP;SO","-3.005;0;-2.656","-1;0;-1",1,1,0,0,2,"No"
"40","SKP1",100,"NP",1,"NP",72,0.72,"1;2","NP;NP","1;1","1;1","-1;-1",0.123672423658597,0.247344847317194,0.148488152184725,-1,"FD;NP;SO","-4.05;0;-2.564","-1;0;-1",1,1,0,0,2,"No"
"41","SLC16A3",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"42","ZC3HC1",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"43","ZNF239",100,"NP",1,"FD;NP",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.175930432891759,0.351860865783519,0.186831900510057,1,"FD;NP;SO","-5.577;0;-2.683","-1;0;-1",1,1,1,0,3,"Yes"
"44","ZNF830",62,"NP",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"45","CUN_BAE",100,"SO",1,"SO",80,0.8,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.105965734725507,0.211931469451013,0.159475675520576,1,"FD;NP;SO","2.121;0;3.118","1;0;1",1,1,0,0,2,"No"
"46","Dias",96,"SO",0.96,"FD;SO",83,0.83,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.134976805453595,0.269953610907189,0.13870000175315,1,"FD;NP;SO","-1.881;0;2.922","-1;0;1",1,1,0,0,2,"No"
"47","Eotaxin",62,"SO",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"48","FLI",100,"SO",1,"NP;SO",94,0.94,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.107651081999882,0.215302163999764,0.18054085951806,1,"FD;NP;SO","3.572;0;3.345","1;0;1",1,1,0,0,2,"No"
"49","IMC",100,"SO",1,"SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.133217438706669,0.266434877413338,0.188113433508661,1,"FD;NP;SO","1.646;0;3.728","1;0;1",1,1,0,0,2,"No"
"50","INSL3",100,"SO",1,"NP;SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.107502956575749,0.215005913151499,0.196202340645151,1,"FD;NP;SO","3.043;0;3.789","1;0;1",1,1,0,0,2,"No"
"51","kg_Androide",100,"SO",1,"NP;SO",93,0.93,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.101253337260699,0.202506674521397,0.177273379636945,1,"FD;NP;SO","3.327;0;3.425","1;0;1",1,1,0,0,2,"No"
"52","kg_Ginoide",100,"SO",1,"SO",88,0.88,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.138774414150115,0.27754882830023,0.149566585582426,1,"FD;NP;SO","1.095;0;3.116","1;0;1",1,1,1,0,3,"Yes"
"53","LINC01089",62,"SO",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"54","Masa_grasa_0M",100,"SO",1,"SO",97,0.97,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.137541008655834,0.275082017311668,0.174361407785547,1,"FD;NP;SO","1.797;0;3.522","1;0;1",1,1,1,0,3,"Yes"
"55","neg_290",100,"SO",1,"SO",77,0.77,"1;2","SO;SO","-1;-1","1;1","1;1",0.088356556912909,0.176713113825818,0.157805810992672,1,"FD;NP;SO","0.249;0;3.021","1;0;1",1,1,0,0,2,"No"
"56","neg_471",100,"SO",1,"NP;SO",79,0.79,"1;2","SO;SO","-1;-1","1;1","1;1",0.124359624907402,0.248719249814805,0.16106342228994,1,"FD;NP;SO","3.963;0;2.84","1;0;1",1,1,0,0,2,"No"
"57","neg_754",86,"SO",0.86,"FD;NP;SO",100,1,"1;2","SO;SO","1;1","-1;-1","1;1",0.248679509319859,0.497359018639718,0.430334513373678,1,"FD;NP;SO","-6.601;0;2.213","-1;0;1",1,1,1,0,3,"Yes"
"58","PCR",100,"SO",1,"NP;SO",92,0.92,"1;2","SO;SO","-1;-1","1;1","1;1",0.131538897441624,0.263077794883247,0.161051265821974,1,"FD;NP;SO","4.782;0;2.805","1;0;1",1,1,0,0,2,"No"
"59","Peso",100,"SO",1,"FD;SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.144505376835159,0.289010753670318,0.169908851573326,1,"FD;NP;SO","0.572;0;3.477","1;0;1",1,1,1,0,3,"Yes"
"60","pos_935",86,"SO",0.86,"FD;NP;SO",100,1,"1;2","SO;SO","1;1","-1;-1","1;1",0.248751989899796,0.497503979799591,0.442300052017645,1,"FD;NP;SO","-6.151;0;2.022","-1;0;1",1,1,1,0,3,"Yes"
"61","pos_980",100,"SO",1,"SO",89,0.89,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.114111810730682,0.228223621461364,0.160667956078971,1,"FD;NP;SO","1.315;0;3.144","1;0;1",1,1,0,0,2,"No"
"62","Ratio_and_gin",96,"SO",0.96,"NP",70,0.7,"1;2","SO;SO","-1;-1","1;1","1;1",0.117019723078442,0.234039446156883,0.138137805184596,1,"FD;NP;SO","4.446;0;2.424","1;0;1",1,1,0,0,2,"No"
"63","Ratio_cintura_0M",100,"SO",1,"SO",87,0.87,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.0993224835298708,0.198644967059742,0.168783053945594,1,"FD;NP;SO","2.369;0;3.262","1;0;1",1,1,0,0,2,"No"
"64","X_Androide",100,"SO",1,"NP;SO",73,0.73,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.0864821971261226,0.172964394252245,0.166236018958629,1,"FD;NP;SO","3.958;0;3.15","1;0;1",1,1,0,0,2,"No"
"65","X_Androide_grasa_Total",100,"SO",1,"NP;SO",71,0.71,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.106572323586494,0.213144647172988,0.154768004013699,1,"FD;NP;SO","4.467;0;2.829","1;0;1",1,1,0,0,2,"No"
