"","Accuracy","BalAcc","Kappa","AUC","LogLoss","Model","GridID","p","n_coefs","q_tx","q_pr","q_me","q_cl"
"39",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.749318957661396,"BRMS_MCMC",43,109,218,0.9,0.7,0.97,0.7
"40",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.654418078044276,"BRMS_MCMC",44,70,140,0.95,0.7,0.97,0.7
"41",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.624898498743665,"BRMS_MCMC",45,54,108,0.97,0.7,0.97,0.7
"42",0.8,0.868055555555556,0.696969696969697,0.9375,0.644751416088879,"BRMS_MCMC",47,66,132,0.95,0.85,0.97,0.7
"43",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.638219892898359,"BRMS_MCMC",48,50,100,0.97,0.85,0.97,0.7
"44",0.7,0.805555555555556,0.558823529411765,0.96875,0.698153312590355,"BRMS_MCMC",1,149,298,0.9,0.7,0.7,0.65
"45",0.7,0.805555555555556,0.558823529411765,0.96875,0.630416552373711,"BRMS_MCMC",2,110,220,0.95,0.7,0.7,0.65
"46",0.7,0.805555555555556,0.558823529411765,0.96875,0.694096152974345,"BRMS_MCMC",4,145,290,0.9,0.85,0.7,0.65
"47",0.7,0.805555555555556,0.558823529411765,0.947916666666667,0.621251241470886,"BRMS_MCMC",5,106,212,0.95,0.85,0.7,0.65
"48",0.7,0.805555555555556,0.558823529411765,0.916666666666667,0.794839719457072,"NNET",7,128,256,0.9,0.7,0.85,0.65
"49",0.7,0.805555555555556,0.558823529411765,0.947916666666667,0.873234158075445,"NNET",10,124,248,0.9,0.85,0.85,0.65
"50",0.7,0.805555555555556,0.558823529411765,0.833333333333333,3.45727832655854,"NNET",24,53,106,0.97,0.85,0.97,0.65
"51",0.7,0.805555555555556,0.558823529411765,0.96875,0.688184876317118,"BRMS_MCMC",25,146,292,0.9,0.7,0.7,0.7
"52",0.7,0.805555555555556,0.558823529411765,0.96875,0.675557270699629,"BRMS_MCMC",28,142,284,0.9,0.85,0.7,0.7
"53",0.7,0.805555555555556,0.558823529411765,0.96875,0.610791395925361,"BRMS_MCMC",29,103,206,0.95,0.85,0.7,0.7
"54",0.7,0.805555555555556,0.558823529411765,0.947916666666667,0.762287248191965,"NNET",34,121,242,0.9,0.85,0.85,0.7
"55",0.7,0.805555555555556,0.558823529411765,0.833333333333333,2.26316881516807,"NNET",42,52,104,0.97,0.85,0.95,0.7
"56",0.7,0.805555555555556,0.558823529411765,0.895833333333333,2.60038259451422,"NNET",45,54,108,0.97,0.7,0.97,0.7
"57",0.7,0.805555555555556,0.558823529411765,0.875,1.95064448654381,"NNET",48,50,100,0.97,0.85,0.97,0.7
"58",0.7,0.798611111111111,0.545454545454545,0.885416666666667,2.46229381172256,"NNET",14,75,150,0.95,0.7,0.95,0.65
"59",0.7,0.798611111111111,0.545454545454545,0.875,1.63767177290309,"NNET",20,73,146,0.95,0.7,0.97,0.65
"60",0.7,0.798611111111111,0.545454545454545,0.90625,1.87512255297303,"NNET",38,72,144,0.95,0.7,0.95,0.7
"61",0.7,0.798611111111111,0.545454545454545,0.875,1.46236727428693,"NNET",44,70,140,0.95,0.7,0.97,0.7
"62",0.7,0.798611111111111,0.545454545454545,0.90625,0.781084163980147,"BRMS_MCMC",22,108,216,0.9,0.85,0.97,0.65
"63",0.7,0.798611111111111,0.545454545454545,0.927083333333333,0.761951534696341,"BRMS_MCMC",46,105,210,0.9,0.85,0.97,0.7
"64",0.7,0.763888888888889,0.545454545454545,0.864583333333333,0.993502785466693,"NNET",25,146,292,0.9,0.7,0.7,0.7
"65",0.7,0.756944444444445,0.53125,0.895833333333333,5.00650257490427,"NNET",5,106,212,0.95,0.85,0.7,0.65
"66",0.7,0.756944444444445,0.53125,0.864583333333333,4.61054952373728,"NNET",9,73,146,0.97,0.7,0.85,0.65
"67",0.7,0.756944444444445,0.53125,0.885416666666667,0.62947478519971,"NNET",28,142,284,0.9,0.85,0.7,0.7
"68",0.7,0.756944444444445,0.53125,0.927083333333333,5.13381979202276,"NNET",29,103,206,0.95,0.85,0.7,0.7
"69",0.7,0.756944444444445,0.53125,0.895833333333333,3.64831556956111,"NNET",33,70,140,0.97,0.7,0.85,0.7
"70",0.7,0.756944444444445,0.53125,0.895833333333333,2.71165961058737,"NNET",36,66,132,0.97,0.85,0.85,0.7
"71",0.6,0.743055555555556,0.428571428571428,0.916666666666667,12.2780447780552,"NNET",3,94,188,0.97,0.7,0.7,0.65
"72",0.6,0.743055555555556,0.428571428571428,0.895833333333333,11.4922395099912,"NNET",6,90,180,0.97,0.85,0.7,0.65
"73",0.6,0.743055555555556,0.428571428571428,0.916666666666667,1.63126499951284,"NNET",13,114,228,0.9,0.7,0.95,0.65
"74",0.6,0.743055555555556,0.428571428571428,0.916666666666667,1.55271984937733,"NNET",16,110,220,0.9,0.85,0.95,0.65
"75",0.6,0.743055555555556,0.428571428571428,0.916666666666667,1.65115845788267,"NNET",19,112,224,0.9,0.7,0.97,0.65
