"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"1","BAX",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"2","DPP3",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"3","ENSA",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"4","IFNg",96,"FD",0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"5","IL_1b",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"6","IL_2",86,"FD",0.86,"FD;NP",98,0.98,"1;2","FD;FD","-1;-1","1;1","1;1",0.214587123465954,0.429174246931907,0.351490736669045,-1,"FD;NP;SO","6.09;0;0.764","1;0;1",1,1,1,0,3,"Yes"
"7","IL_8",100,"FD",1,"FD;SO",95,0.95,"1;2","FD;FD","1;1","1;1","-1;-1",0.172013745719509,0.344027491439018,0.194190633651725,-1,"FD;NP;SO","-0.284;0;-3.241","-1;0;-1",1,1,1,0,3,"Yes"
"8","neg_127",100,"FD",1,"SO",91,0.91,"1;2","FD;FD","1;1","1;1","-1;-1",0.131177210952516,0.262354421905032,0.16528567280848,-1,"FD;NP;SO","-2.765;0;-3.33","-1;0;-1",1,1,0,0,2,"No"
"9","neg_70",100,"FD",1,"SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.125045186944835,0.250090373889669,0.162930101315386,-1,"FD;NP;SO","-2.166;0;-3.282","-1;0;-1",1,1,0,0,2,"No"
"10","PDLIM2",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"11","pos_174",100,"FD",1,"SO",85,0.85,"1;2","FD;FD","1;1","1;1","-1;-1",0.123645873328433,0.247291746656866,0.165989305474179,-1,"FD;NP;SO","-1.435;0;-3.277","-1;0;-1",1,1,0,0,2,"No"
"12","pos_681",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"13","SLC39A7",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"14","SLTM",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"15","SNORA71B",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"16","SNORD100",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"17","SNORD22",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"18","VEGF_A",96,"FD",0.96,"FD;SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.150099590261646,0.300199180523291,0.165724582318685,-1,"FD;NP;SO","0.188;0;-2.962","1;0;-1",1,1,1,0,3,"Yes"
"19","ZNF326",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"20","ATP5MPL",100,"NP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"21","C4orf3",100,"NP",1,"NP",75,0.75,"1;2","NP;NP","1;1","1;1","-1;-1",0.127818371081377,0.255636742162754,0.153614571878192,-1,"FD;NP;SO","-3.968;0;-2.669","-1;0;-1",1,1,0,0,2,"No"
"22","DGKZ",45,"NP",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"23","EIF1AD",96,"NP",0.96,"NP",78,0.78,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.157522680745489,0.315045361490977,0.17399180779336,1,"FD;NP;SO","-4.759;0;-2.298","-1;0;-1",1,1,1,0,3,"Yes"
"24","FABP3",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"25","FAM98A",100,"NP",1,"NP",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.182417873722675,0.364835747445351,0.209079466093407,1,"FD;NP;SO","-5.22;0;-2.509","-1;0;-1",1,1,1,0,3,"Yes"
"26","Fractalkine",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"27","IL_18",86,"NP",0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"28","neg_1075",100,"NP",1,"SO",85,0.85,"1;2","NP;NP","1;1","1;1","-1;-1",0.124605428357079,0.249210856714157,0.165847290030136,-1,"FD;NP;SO","-2.221;0;-3.297","-1;0;-1",1,1,0,0,2,"No"
"29","neg_128",100,"NP",1,"NP;SO",93,0.93,"1;2","NP;NP","1;1","1;1","-1;-1",0.0882713740216434,0.176542748043287,0.167933314965732,-1,"FD;NP;SO","-2.431;0;-3.212","-1;0;-1",1,1,0,0,2,"No"
"30","neg_27",100,"NP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"31","neg_271",100,"NP",1,"FD;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.153214585081422,0.306429170162844,0.173089053366655,-1,"FD;NP;SO","-0.215;0;-3.53","-1;0;-1",1,1,1,0,3,"Yes"
"32","neg_334",100,"NP",1,"SO",98,0.98,"1;2","NP;NP","1;1","1;1","-1;-1",0.133839806112305,0.267679612224611,0.171679020918257,-1,"FD;NP;SO","-1.971;0;-3.449","-1;0;-1",1,1,0,0,2,"No"
"33","neg_38",100,"NP",1,"NP",99,0.99,"1;2","NP;NP","1;1","1;1","-1;-1",0.158479465270703,0.316958930541406,0.168714818204317,-1,"FD;NP;SO","-6.13;0;-2.875","-1;0;-1",1,1,1,0,3,"Yes"
"34","neg_43",100,"NP",1,"NP",71,0.71,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.118470120861463,0.236940241722925,0.144804937167342,-1,"FD;NP;SO","-4.076;0;-2.546","-1;0;-1",1,1,0,0,2,"No"
